steps,periods,consumers,demand
0,0,0,7.344129601672447
0,0,1,1.4514534095703175
0,0,2,5.546190492653008
0,0,3,5.546190492653008
0,0,4,1.4514534095703175
0,0,5,1.4514534095703175
0,0,6,5.546190492653008
0,0,7,7.344129601672447
0,0,8,15.034950969587436
0,0,9,15.034950969587436
0,0,10,7.344129601672447
0,0,11,1.4514534095703175
0,0,12,5.546190492653008
0,0,13,15.034950969587436
0,0,14,1.4514534095703175
0,0,15,5.546190492653008
1,0,0,8.843450177792427
1,0,1,1.5472345990343483
1,0,2,6.070830133849915
1,0,3,6.070830133849915
1,0,4,1.5472345990343483
1,0,5,1.5472345990343483
1,0,6,6.070830133849915
1,0,7,8.843450177792427
1,0,8,13.722375884940917
1,0,9,13.722375884940917
1,0,10,8.843450177792427
1,0,11,1.5472345990343483
1,0,12,6.070830133849915
1,0,13,13.722375884940917
1,0,14,1.5472345990343483
1,0,15,6.070830133849915
2,0,0,8.131908209464303
2,0,1,1.6061768694737524
2,0,2,5.845984573336954
2,0,3,5.845984573336954
2,0,4,1.6061768694737524
2,0,5,1.6061768694737524
2,0,6,5.845984573336954
2,0,7,8.131908209464303
2,0,8,15.870226023453405
2,0,9,15.870226023453405
2,0,10,8.131908209464303
2,0,11,1.6061768694737524
2,0,12,5.845984573336954
2,0,13,15.870226023453405
2,0,14,1.6061768694737524
2,0,15,5.845984573336954
3,0,0,12.375747806278481
3,0,1,1.8419459512313674
3,0,2,6.4705555747618435
3,0,3,6.4705555747618435
3,0,4,1.8419459512313674
3,0,5,1.8419459512313674
3,0,6,6.4705555747618435
3,0,7,12.375747806278481
3,0,8,19.21132623891728
3,0,9,19.21132623891728
3,0,10,12.375747806278481
3,0,11,1.8419459512313674
3,0,12,6.4705555747618435
3,0,13,19.21132623891728
3,0,14,1.8419459512313674
3,0,15,6.4705555747618435
4,0,0,16.136755353155724
4,0,1,2.3724263851860012
4,0,2,8.644062659720454
4,0,3,8.644062659720454
4,0,4,2.3724263851860012
4,0,5,2.3724263851860012
4,0,6,8.644062659720454
4,0,7,16.136755353155724
4,0,8,23.50702651594226
4,0,9,23.50702651594226
4,0,10,16.136755353155724
4,0,11,2.3724263851860012
4,0,12,8.644062659720454
4,0,13,23.50702651594226
4,0,14,2.3724263851860012
4,0,15,8.644062659720454
5,0,0,18.220556831830947
5,0,1,3.521800658754374
5,0,2,12.716265589010726
5,0,3,12.716265589010726
5,0,4,3.521800658754374
5,0,5,3.521800658754374
5,0,6,12.716265589010726
5,0,7,18.220556831830947
5,0,8,19.96705128765316
5,0,9,19.96705128765316
5,0,10,18.220556831830947
5,0,11,3.521800658754374
5,0,12,12.716265589010726
5,0,13,19.96705128765316
5,0,14,3.521800658754374
5,0,15,12.716265589010726
6,0,0,12.19786231419645
6,0,1,4.538554823834089
6,0,2,13.066025349808665
6,0,3,13.066025349808665
6,0,4,4.538554823834089
6,0,5,4.538554823834089
6,0,6,13.066025349808665
6,0,7,12.19786231419645
6,0,8,19.76817627482793
6,0,9,19.76817627482793
