consumers,type,node,annual_heat,peak,flh
0,sfh,156,25000.0,11.265,2219.2632046160675
1,ghd,157,140000.0,65.453,2138.9393916245244
2,com,158,100000.0,60.306,1658.209796703479
3,com,159,100000.0,60.306,1658.209796703479
4,mfh,160,80000.0,26.7,2996.2546816479403
5,sfh,161,25000.0,11.265,2219.2632046160675
6,com,162,100000.0,60.306,1658.209796703479
7,ghd,163,140000.0,65.453,2138.9393916245244
8,sfh,164,25000.0,11.265,2219.2632046160675
9,pub,165,100000.0,42.2,2369.6682464454975
10,ghd,166,140000.0,65.453,2138.9393916245244
11,ghd,167,140000.0,65.453,2138.9393916245244
12,com,168,100000.0,60.306,1658.209796703479
13,sfh,169,25000.0,11.265,2219.2632046160675
14,sfh,170,25000.0,11.265,2219.2632046160675
15,com,171,100000.0,60.306,1658.209796703479
16,sfh,172,25000.0,11.265,2219.2632046160675
17,sfh,173,25000.0,11.265,2219.2632046160675
18,sfh,174,25000.0,11.265,2219.2632046160675
19,sfh,175,25000.0,11.265,2219.2632046160675
20,sfh,176,25000.0,11.265,2219.2632046160675
21,sfh,177,25000.0,11.265,2219.2632046160675
22,sfh,178,25000.0,11.265,2219.2632046160675
23,sfh,179,25000.0,11.265,2219.2632046160675
24,sfh,180,25000.0,11.265,2219.2632046160675
25,sfh,181,25000.0,11.265,2219.2632046160675
26,mfh,182,80000.0,26.7,2996.2546816479403
27,sfh,183,25000.0,11.265,2219.2632046160675
28,ghd,184,140000.0,65.453,2138.9393916245244
29,ghd,185,140000.0,65.453,2138.9393916245244
30,sfh,186,25000.0,11.265,2219.2632046160675
31,mfh,187,80000.0,26.7,2996.2546816479403
32,ghd,188,140000.0,65.453,2138.9393916245244
33,sfh,189,25000.0,11.265,2219.2632046160675
34,mfh,190,80000.0,26.7,2996.2546816479403
35,sfh,191,25000.0,11.265,2219.2632046160675
36,mfh,192,80000.0,26.7,2996.2546816479403
37,pub,193,100000.0,42.2,2369.6682464454975
38,pub,194,100000.0,42.2,2369.6682464454975
39,pub,195,100000.0,42.2,2369.6682464454975
40,sfh,196,25000.0,11.265,2219.2632046160675
41,sfh,197,25000.0,11.265,2219.2632046160675
42,sfh,198,25000.0,11.265,2219.2632046160675
43,sfh,199,25000.0,11.265,2219.2632046160675
44,com,200,100000.0,60.306,1658.209796703479
45,com,201,100000.0,60.306,1658.209796703479
46,sfh,202,25000.0,11.265,2219.2632046160675
47,sfh,203,25000.0,11.265,2219.2632046160675
48,com,204,100000.0,60.306,1658.209796703479
49,mfh,205,80000.0,26.7,2996.2546816479403
50,sfh,206,25000.0,11.265,2219.2632046160675
51,pub,207,100000.0,42.2,2369.6682464454975
52,com,208,100000.0,60.306,1658.209796703479
53,mfh,209,80000.0,26.7,2996.2546816479403
54,sfh,210,25000.0,11.265,2219.2632046160675
55,mfh,211,80000.0,26.7,2996.2546816479403
56,com,212,100000.0,60.306,1658.209796703479
57,com,213,100000.0,60.306,1658.209796703479
58,sfh,214,25000.0,11.265,2219.2632046160675
59,pub,215,100000.0,42.2,2369.6682464454975
60,sfh,216,25000.0,11.265,2219.2632046160675
61,sfh,217,25000.0,11.265,2219.2632046160675
62,sfh,218,25000.0,11.265,2219.2632046160675
63,sfh,219,25000.0,11.265,2219.2632046160675
64,com,220,100000.0,60.306,1658.209796703479
65,ghd,221,140000.0,65.453,2138.9393916245244
66,sfh,222,25000.0,11.265,2219.2632046160675
67,com,223,100000.0,60.306,1658.209796703479
68,sfh,224,25000.0,11.265,2219.2632046160675
69,sfh,225,25000.0,11.265,2219.2632046160675
70,sfh,226,25000.0,11.265,2219.2632046160675
71,sfh,227,25000.0,11.265,2219.2632046160675
72,mfh,228,80000.0,26.7,2996.2546816479403
73,com,229,100000.0,60.306,1658.209796703479
74,com,230,100000.0,60.306,1658.209796703479
75,com,231,100000.0,60.306,1658.209796703479
76,mfh,232,80000.0,26.7,2996.2546816479403
77,com,233,100000.0,60.306,1658.209796703479
78,sfh,234,25000.0,11.265,2219.2632046160675
79,mfh,235,80000.0,26.7,2996.2546816479403
80,com,236,100000.0,60.306,1658.209796703479
81,pub,237,100000.0,42.2,2369.6682464454975
82,sfh,238,25000.0,11.265,2219.2632046160675
