steps,periods,day ahead,solar,temperature
0,0,-0.00517,0.0,11.5
1,0,-0.00107,0.0,10.4
2,0,-0.00147,0.0,10.8
3,0,-0.00508,0.0,10.3
4,0,-0.00449,0.0,11.3
5,0,-0.0054,0.0,10.8
6,0,-0.0050199999999999,0.0,9.6
7,0,-0.0013,0.0,10.1
8,0,-0.0014399999999999,0.0,10.9
9,0,-0.00109,0.0611338558920261,12.2
10,0,-0.00107,0.2549029184456539,12.5
11,0,-0.00107,0.3445628512817991,13.5
12,0,-0.00079,0.3899931202648802,13.6
13,0,-0.00027,0.2436067820240862,14.5
14,0,0.00085,0.0240598584943194,13.8
15,0,0.02353,0.0,13.5
16,0,0.0365399999999999,0.0,11.7
17,0,0.04603,0.0,11.8
18,0,0.05557,0.0,10.5
19,0,0.05495,0.0,8.5
20,0,0.0492299999999999,0.0,9.6
21,0,0.04499,0.0,9.7
22,0,0.04596,0.0,9.5
23,0,0.035,0.0,10.2
24,0,0.0579099999999999,0.0,9.1
25,0,0.05167,0.0,7.9
26,0,0.05293,0.0,9.3
27,0,0.04409,0.0,8.3
28,0,0.05008,0.0,8.9
29,0,0.06972,0.0,8.8
30,0,0.1050799999999999,0.0,8.6
31,0,0.14064,0.0,8.7
32,0,0.14598,0.0,8.6
33,0,0.14705,0.0,9.1
34,0,0.14561,0.0,11.2
35,0,0.14335,0.3594308196100929,12.7
36,0,0.14438,0.4175914619531872,14.2
37,0,0.14376,0.3403943585949183,15.2
38,0,0.1482,0.1203248028413285,14.7
39,0,0.15534,0.0,13.6
40,0,0.1628899999999999,0.0,12.6
41,0,0.17,0.0,11.8
42,0,0.17474,0.0,12.0
43,0,0.16446,0.0,12.2
44,0,0.153,0.0,11.9
45,0,0.14167,0.0,10.3
46,0,0.13491,0.0,9.5
47,0,0.12422,0.0,9.1
48,0,0.13001,0.0,8.7
49,0,0.12,0.0,8.2
50,0,0.11876,0.0,8.0
51,0,0.115,0.0,7.6
52,0,0.11363,0.0,7.1
53,0,0.11627,0.0,6.5
54,0,0.13892,0.0,5.0
55,0,0.1599199999999999,0.0,3.8
56,0,0.16917,0.0,4.2
57,0,0.17118,0.0,4.2
58,0,0.16857,0.0,6.3
59,0,0.16949,0.0,7.4
60,0,0.1645,0.0171784779656527,7.9
61,0,0.16091,0.096208209789915,7.4
62,0,0.16306,0.0,8.8
63,0,0.16773,0.0,7.7
64,0,0.16661,0.0,6.2
65,0,0.17072,0.0,3.7
66,0,0.16893,0.0,3.8
67,0,0.16099,0.0,2.9
68,0,0.14962,0.0,3.4
69,0,0.13099,0.0,3.0
70,0,0.11427,0.0,2.5
71,0,0.09366,0.0,1.5
72,0,0.08089,0.0,2.2
73,0,0.07067,0.0,1.7
74,0,0.04,0.0,0.2
75,0,0.00868,0.0,1.7
76,0,0.00085,0.0,2.3
77,0,0.01102,0.0,2.8
78,0,0.06102,0.0,3.1
79,0,0.0792,0.0,3.8
80,0,0.0842,0.0,4.3
81,0,0.0833199999999999,0.0,5.0
82,0,0.07007,0.0,6.5
83,0,0.0797399999999999,0.0,7.2
84,0,0.08089,0.0,8.1
85,0,0.07972,0.0,9.1
86,0,0.08022,0.0,9.2
87,0,0.0797399999999999,0.0,9.3
88,0,0.0808199999999999,0.0,8.6
89,0,0.08616,0.0,8.7
90,0,0.07228,0.0,8.6
91,0,0.06661,0.0,9.0
92,0,0.0432,0.0,9.6
93,0,0.03125,0.0,9.7
94,0,0.03496,0.0,9.4
95,0,0.0090899999999999,0.0,10.2
96,0,5e-05,0.0,10.5
97,0,7.000000000000001e-05,0.0,9.8
98,0,7.000000000000001e-05,0.0,9.9
99,0,0.0001199999999999,0.0,10.2
100,0,0.0022299999999999,0.0,11.2
101,0,0.01007,0.0,10.8
102,0,0.06104,0.0,9.6
103,0,0.08719,0.0,9.3
104,0,0.09584,0.0,9.0
105,0,0.12555,0.0,9.5
106,0,0.1319199999999999,0.0,10.0
107,0,0.14307,0.0,10.2
108,0,0.14091,0.0031609407546129,10.2
109,0,0.14258,0.0033364850734945,10.6
110,0,0.15103,0.0,10.8
111,0,0.1594799999999999,0.0,9.9
112,0,0.17273,0.0,9.7
113,0,0.1946999999999999,0.0,9.4
114,0,0.1946699999999999,0.0,9.0
115,0,0.17798,0.0,8.1
116,0,0.16399,0.0,8.2
117,0,0.152,0.0,8.1
118,0,0.14464,0.0,8.1
119,0,0.127,0.0,7.9
120,0,0.10721,0.0,7.8
121,0,0.1011,0.0,7.9
122,0,0.09673,0.0,7.9
123,0,0.08234,0.0,8.0
124,0,0.08193,0.0,7.8
125,0,0.08403,0.0,8.4
126,0,0.09725,0.0,8.9
127,0,0.10651,0.0,8.8
128,0,0.1207,0.0,9.3
129,0,0.11686,0.0,9.7
130,0,0.1128499999999999,0.0,10.2
131,0,0.11337,0.0,10.4
132,0,0.115,0.0,9.7
133,0,0.10978,0.0,9.7
134,0,0.11971,0.0,9.7
135,0,0.12583,0.0,9.6
136,0,0.13957,0.0,9.3
137,0,0.15593,0.0,9.2
138,0,0.1635,0.0,8.9
139,0,0.14674,0.0,8.7
140,0,0.13938,0.0,8.8
141,0,0.1318,0.0,8.9
142,0,0.12994,0.0,8.4
143,0,0.1212999999999999,0.0,8.5
144,0,0.09715,0.0,8.2
145,0,0.09843,0.0,8.2
146,0,0.09605,0.0,8.0
147,0,0.0879699999999999,0.0,7.3
148,0,0.08299,0.0,7.6
149,0,0.08359,0.0,7.5
150,0,0.09076,0.0,7.4
151,0,0.10321,0.0,7.2
152,0,0.11186,0.0,7.1
153,0,0.112,0.0,7.8
154,0,0.1,0.0461386265845606,8.5
155,0,0.08832,0.2121529222378238,9.2
156,0,0.0879,0.2389484439726718,9.4
157,0,0.09405,0.2168850020719344,9.8
158,0,0.08898,0.1917105698865186,10.0
159,0,0.08556,0.0,9.4
160,0,0.0940999999999999,0.0,8.2
161,0,0.09681,0.0,6.3
162,0,0.09952,0.0,5.4
163,0,0.09458,0.0,3.3
164,0,0.08786,0.0,2.8
165,0,0.06147,0.0,2.4
166,0,0.05,0.0,2.5
167,0,0.03825,0.0,3.4
168,0,0.01093,0.0,1.8
169,0,0.00907,0.0,2.1
170,0,0.0091,0.0,1.6
171,0,0.00416,0.0,1.8
172,0,0.00558,0.0,1.8
173,0,0.00992,0.0,1.5
174,0,0.00902,0.0,1.8
175,0,0.01647,0.0,3.7
176,0,0.04942,0.0,3.7
177,0,0.0828,0.0,4.6
178,0,0.0937,0.0,6.3
179,0,0.10387,0.0,6.8
180,0,0.10169,0.0,6.5
181,0,0.099,0.0,6.8
182,0,0.10429,0.0,7.2
183,0,0.10364,0.0,6.9
184,0,0.10911,0.0,6.6
185,0,0.11804,0.0,6.5
186,0,0.12261,0.0,5.7
187,0,0.10911,0.0,6.5
188,0,0.10393,0.0,5.5
189,0,0.09843,0.0,5.3
190,0,0.09937,0.0,4.9
191,0,0.08134,0.0,4.5
192,0,0.07513,0.0,4.6
193,0,0.0643799999999999,0.0,4.6
194,0,0.06028,0.0,4.6
195,0,0.0394099999999999,0.0,5.0
196,0,0.04725,0.0,5.1
197,0,0.0690699999999999,0.0,5.1
198,0,0.1071299999999999,0.0,5.5
199,0,0.16,0.0,6.6
200,0,0.18,0.0,6.3
201,0,0.17714,0.0,6.2
202,0,0.15907,0.0,6.5
203,0,0.16057,0.0,6.6
204,0,0.14056,0.0,6.7
205,0,0.13767,0.0,6.2
206,0,0.14357,0.0,6.4
207,0,0.15102,0.0,6.2
208,0,0.16196,0.0,5.0
209,0,0.17607,0.0,4.6
210,0,0.18218,0.0,4.3
211,0,0.17079,0.0,4.7
212,0,0.1605099999999999,0.0,4.4
213,0,0.13893,0.0,4.9
214,0,0.132,0.0,5.2
215,0,0.10831,0.0,4.5
216,0,0.1060199999999999,0.0,4.5
217,0,0.0967099999999999,0.0,4.6
218,0,0.09514,0.0,4.8
219,0,0.09036,0.0,4.6
220,0,0.09561,0.0,4.9
221,0,0.1085999999999999,0.0,4.8
222,0,0.13813,0.0,4.9
223,0,0.1547299999999999,0.0,4.7
224,0,0.16533,0.0,4.6
225,0,0.1604199999999999,0.0,4.7
226,0,0.1547299999999999,0.0785203962188979,4.8
227,0,0.14645,0.1260740705127777,5.2
228,0,0.14122,0.1913872924007767,5.5
229,0,0.14168,0.224779916330021,5.6
230,0,0.1454099999999999,0.0,5.5
231,0,0.14592,0.0,5.2
232,0,0.1405,0.0,4.8
233,0,0.14634,0.0,3.9
234,0,0.14045,0.0,3.6
235,0,0.12444,0.0,2.8
236,0,0.10615,0.0,2.7
237,0,0.08653,0.0,2.7
238,0,0.0813,0.0,3.2
239,0,0.04296,0.0,3.3
240,0,0.005,0.0,3.5
241,0,0.00016,0.0,3.6
242,0,8e-05,0.0,3.2
243,0,1e-05,0.0,3.4
244,0,4e-05,0.0,3.9
245,0,0.00275,0.0,4.2
246,0,0.05788,0.0,4.5
247,0,0.09111,0.0,4.7
248,0,0.12744,0.0,5.4
249,0,0.12974,0.0,6.6
250,0,0.13171,0.0,7.2
251,0,0.13002,0.0,8.2
252,0,0.11747,0.0,8.2
253,0,0.11054,0.0,7.9
254,0,0.11574,0.0,7.6
255,0,0.1177,0.0,7.9
256,0,0.1192,0.0,8.4
257,0,0.1323899999999999,0.0,8.6
258,0,0.13288,0.0,8.1
259,0,0.1278,0.0,7.9
260,0,0.11456,0.0,7.8
261,0,0.09347,0.0,7.3
262,0,0.09171,0.0,7.3
263,0,0.06854,0.0,6.6
264,0,0.01988,0.0,6.8
265,0,0.00555,0.0,6.8
266,0,0.00469,0.0,7.0
267,0,0.0001,0.0,5.9
268,0,0.0020299999999999,0.0,5.1
269,0,0.02494,0.0,5.4
270,0,0.08572,0.0,5.2
271,0,0.11155,0.0,5.5
272,0,0.10683,0.0,6.1
273,0,0.09783,0.0,6.7
274,0,0.08474,0.0,8.4
275,0,0.08738,0.0,7.8
276,0,0.0758799999999999,0.0,8.5
277,0,0.08184,0.0,9.1
278,0,0.0882,0.0,9.2
279,0,0.09518,0.0,9.2
280,0,0.09908,0.0,9.4
281,0,0.11201,0.0,9.5
282,0,0.11949,0.0,9.4
283,0,0.10079,0.0,9.3
284,0,0.09935,0.0,9.1
285,0,0.08477,0.0,9.3
286,0,0.07043,0.0,9.2
287,0,0.03957,0.0,9.1
288,0,0.03264,0.0,9.2
289,0,0.0169899999999999,0.0,9.3
290,0,0.009,0.0,9.6
291,0,0.00202,0.0,9.5
292,0,0.00261,0.0,9.7
293,0,0.02526,0.0,8.9
294,0,0.05474,0.0,8.9
295,0,0.08788,0.0,9.0
296,0,0.10595,0.0,8.7
297,0,0.10064,0.0,8.7
298,0,0.0948499999999999,0.0,8.0
299,0,0.08493,0.0,7.7
300,0,0.07653,0.0,8.5
301,0,0.07024,0.0,8.2
302,0,0.0735499999999999,0.0697988473366883,8.3
303,0,0.0798499999999999,0.0,8.1
304,0,0.08531,0.0,7.2
305,0,0.0969,0.0,6.8
306,0,0.09697,0.0,6.2
307,0,0.09591,0.0,7.1
308,0,0.08494,0.0,6.8
309,0,0.07689,0.0,7.0
310,0,0.07651,0.0,6.9
311,0,0.0683,0.0,6.3
312,0,0.02568,0.0,6.0
313,0,0.03462,0.0,5.6
314,0,0.0447,0.0,5.7
315,0,0.0412299999999999,0.0,5.5
316,0,0.0407,0.0,5.8
317,0,0.04068,0.0,5.4
318,0,0.0451,0.0,4.5
319,0,0.05314,0.0,3.6
320,0,0.05234,0.0,3.7
321,0,0.05416,0.0,5.2
322,0,0.05047,0.0,6.0
323,0,0.0550099999999999,0.0,6.7
324,0,0.0489099999999999,0.0,7.3
325,0,0.02525,0.0,7.5
326,0,0.01342,0.0,7.8
327,0,0.00905,0.0,7.8
328,0,0.00904,0.0,7.5
329,0,0.01104,0.0,7.1
330,0,0.0136899999999999,0.0,6.6
331,0,0.00684,0.0,6.6
332,0,0.00903,0.0,6.8
333,0,0.00907,0.0,7.5
334,0,0.0059,0.0,8.3
335,0,0.00519,0.0,8.3
336,0,0.00394,0.0,8.4
337,0,0.00171,0.0,9.0
338,0,0.0040999999999999,0.0,9.6
339,0,0.00265,0.0,9.8
340,0,0.00287,0.0,10.3
341,0,0.00401,0.0,9.6
342,0,0.00158,0.0,10.0
343,0,0.00174,0.0,7.6
344,0,0.00908,0.0,6.3
345,0,0.01031,0.0,4.6
346,0,0.00901,0.0,4.3
347,0,0.0080299999999999,0.0,4.1
348,0,0.0067599999999999,0.0,4.1
349,0,0.0004199999999999,0.0,4.9
350,0,0.00029,0.0,3.0
351,0,0.00032,0.0,4.3
352,0,0.00046,0.0,3.7
353,0,0.00125,0.0,3.1
354,0,0.0269499999999999,0.0,1.8
355,0,0.02527,0.0,2.5
356,0,0.01217,0.0,3.3
357,0,0.01969,0.0,2.9
358,0,0.03214,0.0,2.0
359,0,0.0374699999999999,0.0,1.8
360,0,0.06001,0.0,1.7
361,0,0.06001,0.0,1.4
362,0,0.06272,0.0,1.2
363,0,0.0561,0.0,1.7
364,0,0.0633,0.0,1.8
365,0,0.087,0.0,0.0
366,0,0.15463,0.0,-0.4
367,0,0.17511,0.0,-0.4
368,0,0.18599,0.0,0.8
369,0,0.17,0.0267770259819204,2.2
370,0,0.1502,0.2223618716141557,4.3
371,0,0.15089,0.4143649093089724,5.5
372,0,0.14704,0.3827507713162144,4.9
373,0,0.14087,0.0,5.2
374,0,0.14124,0.0,5.4
375,0,0.14569,0.0,4.8
376,0,0.15081,0.0,4.4
377,0,0.16679,0.0,5.0
378,0,0.1737199999999999,0.0,4.6
379,0,0.1505,0.0,4.9
380,0,0.13697,0.0,4.8
381,0,0.12774,0.0,4.0
382,0,0.1232399999999999,0.0,3.6
383,0,0.1094,0.0,3.7
384,0,0.09824,0.0,3.5
385,0,0.09461,0.0,2.9
386,0,0.0919099999999999,0.0,3.0
387,0,0.08951,0.0,2.5
388,0,0.0917699999999999,0.0,2.1
389,0,0.1,0.0,1.4
390,0,0.11696,0.0,1.2
391,0,0.1408,0.0,1.2
392,0,0.15196,0.0,0.0
393,0,0.1361,0.0,2.0
394,0,0.12617,0.2186208289795083,2.6
395,0,0.12275,0.2332343699341421,2.4
396,0,0.1160699999999999,0.2312694682954724,2.7
397,0,0.12956,0.2461530379562784,3.5
398,0,0.14605,0.2627999863872436,3.8
399,0,0.16385,0.0,2.7
400,0,0.18005,0.0,1.3
401,0,0.18883,0.0,0.7
402,0,0.1769,0.0,0.7
403,0,0.17556,0.0,-0.7
404,0,0.15402,0.0,-0.7
405,0,0.14626,0.0,-0.4
406,0,0.13994,0.0,0.3
407,0,0.12773,0.0,0.1
408,0,0.12285,0.0,-0.2
409,0,0.12468,0.0,-0.1
410,0,0.12464,0.0,-0.1
411,0,0.12287,0.0,-0.2
412,0,0.11991,0.0,0.0
413,0,0.1266,0.0,0.0
414,0,0.15272,0.0,0.1
415,0,0.17169,0.0,0.1
416,0,0.1886699999999999,0.0,0.0
417,0,0.18311,0.0,-0.2
418,0,0.16125,0.0,0.1
419,0,0.15245,0.0,0.1
420,0,0.14087,0.0,0.2
421,0,0.14124,0.0,-0.1
422,0,0.14233,0.0,0.0
423,0,0.15269,0.0,0.3
424,0,0.15381,0.0,0.1
425,0,0.1646399999999999,0.0,0.1
426,0,0.15896,0.0,-0.1
427,0,0.13355,0.0,-0.1
428,0,0.13748,0.0,0.0
429,0,0.13147,0.0,-0.3
430,0,0.12899,0.0,-0.6
431,0,0.11268,0.0,-1.0
432,0,0.11153,0.0,-1.7
433,0,0.10698,0.0,-2.4
434,0,0.10497,0.0,-2.8
435,0,0.10172,0.0,-3.2
436,0,0.09914,0.0,-4.0
437,0,0.11095,0.0,-4.2
438,0,0.11822,0.0,-4.1
439,0,0.14962,0.0,-4.7
440,0,0.15993,0.0,-3.7
441,0,0.15588,0.0,-2.6
442,0,0.15481,0.0,-1.6
443,0,0.13863,0.0,-0.6
444,0,0.1500699999999999,0.0,0.0
445,0,0.15487,0.0,0.5
446,0,0.16049,0.0,0.7
447,0,0.1790999999999999,0.0,0.6
448,0,0.1862899999999999,0.0,0.3
449,0,0.19873,0.0,-0.1
450,0,0.19757,0.0,-0.1
